red,green,blue
15,0,15
31,0,31
47,0,47
63,0,63
79,0,79
95,0,95
111,0,111
127,0,127
143,0,143
159,0,159
175,0,175
191,0,191
207,0,207
223,0,223
239,0,239
255,0,255
239,0,250
223,0,245
207,0,240
191,0,236
175,0,231
159,0,226
143,0,222
127,0,217
111,0,212
95,0,208
79,0,203
63,0,198
47,0,194
31,0,189
15,0,184
0,0,180
0,15,184
0,31,189
0,47,194
0,63,198
0,79,203
0,95,208
0,111,212
0,127,217
0,143,222
0,159,226
0,175,231
0,191,236
0,207,240
0,223,245
0,239,250
0,255,255
0,245,239
0,236,223
0,227,207
0,218,191
0,209,175
0,200,159
0,191,143
0,182,127
0,173,111
0,164,95
0,155,79
0,146,63
0,137,47
0,128,31
0,119,15
0,110,0
15,118,0
30,127,0
45,135,0
60,144,0
75,152,0
90,161,0
105,169,0
120,178,0
135,186,0
150,195,0
165,203,0
180,212,0
195,220,0
210,229,0
225,237,0
240,246,0
255,255,0
251,240,0
248,225,0
245,210,0
242,195,0
238,180,0
235,165,0
232,150,0
229,135,0
225,120,0
222,105,0
219,90,0
216,75,0
212,60,0
209,45,0
206,30,0
203,15,0
200,0,0
202,11,11
205,23,23
207,34,34
210,46,46
212,57,57
215,69,69
217,81,81
220,92,92
222,104,104
225,115,115
227,127,127
230,139,139
232,150,150
235,162,162
237,173,173
240,185,185
242,197,197
245,208,208
247,220,220
250,231,231
252,243,243
